topicId,rank,docId,filename
2,26,27,/home/nitin/Desktop/News/test7_headlines/2014-12-12.txt
2,27,62,/home/nitin/Desktop/News/test7_headlines/2014-09-19.txt
2,28,67,/home/nitin/Desktop/News/test7_headlines/2014-10-09.txt
2,29,83,/home/nitin/Desktop/News/test7_headlines/2014-10-27.txt
2,30,12,/home/nitin/Desktop/News/test7_headlines/2014-11-06.txt
2,31,73,/home/nitin/Desktop/News/test7_headlines/2014-09-23.txt
2,32,75,/home/nitin/Desktop/News/test7_headlines/2014-11-10.txt
2,33,56,/home/nitin/Desktop/News/test7_headlines/2014-10-28.txt
2,34,22,/home/nitin/Desktop/News/test7_headlines/2014-09-17.txt
2,35,1,/home/nitin/Desktop/News/test7_headlines/2014-09-29.txt
2,36,28,/home/nitin/Desktop/News/test7_headlines/2014-11-30.txt
2,37,26,/home/nitin/Desktop/News/test7_headlines/2014-12-05.txt
2,38,85,/home/nitin/Desktop/News/test7_headlines/2014-09-14.txt
2,39,32,/home/nitin/Desktop/News/test7_headlines/2014-11-03.txt
2,40,10,/home/nitin/Desktop/News/test7_headlines/2014-10-10.txt
2,41,51,/home/nitin/Desktop/News/test7_headlines/2014-11-29.txt
2,42,2,/home/nitin/Desktop/News/test7_headlines/2014-10-06.txt
2,43,40,/home/nitin/Desktop/News/test7_headlines/2014-11-28.txt
2,44,71,/home/nitin/Desktop/News/test7_headlines/2014-12-10.txt
2,45,76,/home/nitin/Desktop/News/test7_headlines/2014-09-25.txt
2,46,70,/home/nitin/Desktop/News/test7_headlines/2014-10-01.txt
2,47,92,/home/nitin/Desktop/News/test7_headlines/2014-11-15.txt
2,48,45,/home/nitin/Desktop/News/test7_headlines/2014-10-02.txt
2,49,14,/home/nitin/Desktop/News/test7_headlines/2014-09-24.txt
2,50,39,/home/nitin/Desktop/News/test7_headlines/2014-10-07.txt
2,51,47,/home/nitin/Desktop/News/test7_headlines/2014-11-01.txt
2,52,43,/home/nitin/Desktop/News/test7_headlines/2014-10-08.txt
2,53,93,/home/nitin/Desktop/News/test7_headlines/2014-12-07.txt
2,54,49,/home/nitin/Desktop/News/test7_headlines/2014-11-20.txt
2,55,48,/home/nitin/Desktop/News/test7_headlines/2014-10-26.txt
2,56,15,/home/nitin/Desktop/News/test7_headlines/2014-11-19.txt
2,57,31,/home/nitin/Desktop/News/test7_headlines/2014-11-07.txt
2,58,86,/home/nitin/Desktop/News/test7_headlines/2014-09-02.txt
2,59,65,/home/nitin/Desktop/News/test7_headlines/2014-10-30.txt
2,60,95,/home/nitin/Desktop/News/test7_headlines/2014-09-20.txt
2,61,59,/home/nitin/Desktop/News/test7_headlines/2014-10-29.txt
2,62,87,/home/nitin/Desktop/News/test7_headlines/2014-11-16.txt
2,63,53,/home/nitin/Desktop/News/test7_headlines/2014-09-21.txt
2,64,58,/home/nitin/Desktop/News/test7_headlines/2014-10-03.txt
2,65,64,/home/nitin/Desktop/News/test7_headlines/2014-11-02.txt
2,66,80,/home/nitin/Desktop/News/test7_headlines/2014-09-28.txt
2,67,41,/home/nitin/Desktop/News/test7_headlines/2014-10-05.txt
2,68,29,/home/nitin/Desktop/News/test7_headlines/2014-12-06.txt
2,69,84,/home/nitin/Desktop/News/test7_headlines/2014-11-09.txt
2,70,78,/home/nitin/Desktop/News/test7_headlines/2014-10-25.txt
2,71,90,/home/nitin/Desktop/News/test7_headlines/2014-12-14.txt
2,72,42,/home/nitin/Desktop/News/test7_headlines/2014-12-13.txt
2,73,4,/home/nitin/Desktop/News/test7_headlines/2014-11-21.txt
2,74,77,/home/nitin/Desktop/News/test7_headlines/2014-09-11.txt
2,75,94,/home/nitin/Desktop/News/test7_headlines/2014-10-04.txt
2,76,72,/home/nitin/Desktop/News/test7_headlines/2014-10-15.txt
2,77,17,/home/nitin/Desktop/News/test7_headlines/2014-10-20.txt
